Element_Name                                           	L 	EBML_ID   	Ma	Mu	Rng  	Default           	T	1	2	3	4	W
EBML                                                   	0 	0x1A45DFA3	*	*	-    	-                 	m	*	*	*	*	*
	EBMLVersion                                        	1 	0x4286    	*	-	-    	1                 	u	*	*	*	*	*
	EBMLReadVersion                                    	1 	0x42F7    	*	-	-    	1                 	u	*	*	*	*	*
	EBMLMaxIDLength                                    	1 	0x42F2    	*	-	-    	4                 	u	*	*	*	*	*
	EBMLMaxSizeLength                                  	1 	0x42F3    	*	-	-    	8                 	u	*	*	*	*	*
	DocType                                            	1 	0x4282    	*	-	-    	matroska          	s	*	*	*	*	*
	DocTypeVersion                                     	1 	0x4287    	*	-	-    	1                 	u	*	*	*	*	*
	DocTypeReadVersion                                 	1 	0x4285    	*	-	-    	1                 	u	*	*	*	*	*
Void                                                   	g 	0xEC      	-	-	-    	-                 	b	*	*	*	*	*
CRC-32                                                 	g 	0xBF      	-	-	-    	-                 	b	*	*	*	*	-
SignatureSlot                                          	g 	0x1B538667	-	*	-    	-                 	m	-	-	-	-	-
	SignatureAlgo                                      	1 	0x7E8A    	-	-	-    	-                 	u	-	-	-	-	-
	SignatureHash                                      	1 	0x7E9A    	-	-	-    	-                 	u	-	-	-	-	-
	SignaturePublicKey                                 	1 	0x7EA5    	-	-	-    	-                 	b	-	-	-	-	-
	Signature                                          	1 	0x7EB5    	-	-	-    	-                 	b	-	-	-	-	-
	SignatureElements                                  	1 	0x7E5B    	-	-	-    	-                 	m	-	-	-	-	-
		SignatureElementList                           	2 	0x7E7B    	-	*	-    	-                 	m	-	-	-	-	-
			SignedElement                              	3 	0x6532    	-	*	-    	-                 	b	-	-	-	-	-
Segment                                                	0 	0x18538067	*	*	-    	-                 	m	*	*	*	*	*
	SeekHead                                           	1 	0x114D9B74	-	*	-    	-                 	m	*	*	*	*	*
		Seek                                           	2 	0x4DBB    	*	*	-    	-                 	m	*	*	*	*	*
			SeekID                                     	3 	0x53AB    	*	-	-    	-                 	b	*	*	*	*	*
			SeekPosition                               	3 	0x53AC    	*	-	-    	-                 	u	*	*	*	*	*
	Info                                               	1 	0x1549A966	*	*	-    	-                 	m	*	*	*	*	*
		SegmentUID                                     	2 	0x73A4    	-	-	not 0	-                 	b	*	*	*	*	-
		SegmentFilename                                	2 	0x7384    	-	-	-    	-                 	8	*	*	*	*	-
		PrevUID                                        	2 	0x3CB923  	-	-	-    	-                 	b	*	*	*	*	-
		PrevFilename                                   	2 	0x3C83AB  	-	-	-    	-                 	8	*	*	*	*	-
		NextUID                                        	2 	0x3EB923  	-	-	-    	-                 	b	*	*	*	*	-
		NextFilename                                   	2 	0x3E83BB  	-	-	-    	-                 	8	*	*	*	*	-
		SegmentFamily                                  	2 	0x4444    	-	*	-    	-                 	b	*	*	*	*	-
		ChapterTranslate                               	2 	0x6924    	-	*	-    	-                 	m	*	*	*	*	-
			ChapterTranslateEditionUID                 	3 	0x69FC    	-	*	-    	-                 	u	*	*	*	*	-
			ChapterTranslateCodec                      	3 	0x69BF    	*	-	-    	-                 	u	*	*	*	*	-
			ChapterTranslateID                         	3 	0x69A5    	*	-	-    	-                 	b	*	*	*	*	-
		TimecodeScale                                  	2 	0x2AD7B1  	*	-	-    	1000000           	u	*	*	*	*	*
		Duration                                       	2 	0x4489    	-	-	> 0  	-                 	f	*	*	*	*	*
		DateUTC                                        	2 	0x4461    	-	-	-    	-                 	d	*	*	*	*	*
		Title                                          	2 	0x7BA9    	-	-	-    	-                 	8	*	*	*	*	-
		MuxingApp                                      	2 	0x4D80    	*	-	-    	-                 	8	*	*	*	*	*
		WritingApp                                     	2 	0x5741    	*	-	-    	-                 	8	*	*	*	*	*
	Cluster                                            	1 	0x1F43B675	-	*	-    	-                 	m	*	*	*	*	*
		Timecode                                       	2 	0xE7      	*	-	-    	-                 	u	*	*	*	*	*
		SilentTracks                                   	2 	0x5854    	-	-	-    	-                 	m	*	*	*	*	-
			SilentTrackNumber                          	3 	0x58D7    	-	*	-    	-                 	u	*	*	*	*	-
		Position                                       	2 	0xA7      	-	-	-    	-                 	u	*	*	*	*	-
		PrevSize                                       	2 	0xAB      	-	-	-    	-                 	u	*	*	*	*	*
		SimpleBlock                                    	2 	0xA3      	-	*	-    	-                 	b	-	*	*	*	*
		BlockGroup                                     	2 	0xA0      	-	*	-    	-                 	m	*	*	*	*	*
			Block                                      	3 	0xA1      	*	-	-    	-                 	b	*	*	*	*	*
			BlockVirtual                               	3 	0xA2      	-	-	-    	-                 	b	-	-	-	-	-
			BlockAdditions                             	3 	0x75A1    	-	-	-    	-                 	m	*	*	*	*	-
				BlockMore                              	4 	0xA6      	*	*	-    	-                 	m	*	*	*	*	-
					BlockAddID                         	5 	0xEE      	*	-	not 0	1                 	u	*	*	*	*	-
					BlockAdditional                    	5 	0xA5      	*	-	-    	-                 	b	*	*	*	*	-
			BlockDuration                              	3 	0x9B      	-	-	-    	TrackDuration     	u	*	*	*	*	*
			ReferencePriority                          	3 	0xFA      	*	-	-    	0                 	u	*	*	*	*	-
			ReferenceBlock                             	3 	0xFB      	-	*	-    	-                 	i	*	*	*	*	*
			ReferenceVirtual                           	3 	0xFD      	-	-	-    	-                 	i	-	-	-	-	-
			CodecState                                 	3 	0xA4      	-	-	-    	-                 	b	-	*	*	*	-
			DiscardPadding                             	3 	0x75A2    	-	-	-    	-                 	i	-	-	-	*	*
			Slices                                     	3 	0x8E      	-	-	-    	-                 	m	*	*	*	*	*
				TimeSlice                              	4 	0xE8      	-	*	-    	-                 	m	*	*	*	*	*
					LaceNumber                         	5 	0xCC      	-	-	-    	0                 	u	*	*	*	*	*
					FrameNumber                        	5 	0xCD      	-	-	-    	0                 	u	-	-	-	-	-
					BlockAdditionID                    	5 	0xCB      	-	-	-    	0                 	u	-	-	-	-	-
					Delay                              	5 	0xCE      	-	-	-    	0                 	u	-	-	-	-	-
					SliceDuration                      	5 	0xCF      	-	-	-    	0                 	u	-	-	-	-	-
			ReferenceFrame                             	3 	0xC8      	-	-	-    	-                 	m	-	-	-	-	-
				ReferenceOffset                        	4 	0xC9      	*	-	-    	-                 	u	-	-	-	-	-
				ReferenceTimeCode                      	4 	0xCA      	*	-	-    	-                 	u	-	-	-	-	-
		EncryptedBlock                                 	2 	0xAF      	-	*	-    	-                 	b	-	-	-	-	-
	Tracks                                             	1 	0x1654AE6B	-	*	-    	-                 	m	*	*	*	*	*
		TrackEntry                                     	2 	0xAE      	*	*	-    	-                 	m	*	*	*	*	*
			TrackNumber                                	3 	0xD7      	*	-	not 0	-                 	u	*	*	*	*	*
			TrackUID                                   	3 	0x73C5    	*	-	not 0	-                 	u	*	*	*	*	*
			TrackType                                  	3 	0x83      	*	-	1-254	-                 	u	*	*	*	*	*
			FlagEnabled                                	3 	0xB9      	*	-	0-1  	1                 	u	-	*	*	*	*
			FlagDefault                                	3 	0x88      	*	-	0-1  	1                 	u	*	*	*	*	*
			FlagForced                                 	3 	0x55AA    	*	-	0-1  	0                 	u	*	*	*	*	*
			FlagLacing                                 	3 	0x9C      	*	-	0-1  	1                 	u	*	*	*	*	*
			MinCache                                   	3 	0x6DE7    	*	-	-    	0                 	u	*	*	*	*	-
			MaxCache                                   	3 	0x6DF8    	-	-	-    	-                 	u	*	*	*	*	-
			DefaultDuration                            	3 	0x23E383  	-	-	not 0	-                 	u	*	*	*	*	*
			DefaultDecodedFieldDuration                	3 	0x234E7A  	-	-	not 0	-                 	u	-	-	-	*	-
			TrackTimecodeScale                         	3 	0x23314F  	*	-	> 0  	1.0               	f	*	*	*	-	-
			TrackOffset                                	3 	0x537F    	-	-	-    	0                 	i	-	-	-	-	-
			MaxBlockAdditionID                         	3 	0x55EE    	*	-	-    	0                 	u	*	*	*	*	-
			Name                                       	3 	0x536E    	-	-	-    	-                 	8	*	*	*	*	*
			Language                                   	3 	0x22B59C  	-	-	-    	eng               	s	*	*	*	*	*
			CodecID                                    	3 	0x86      	*	-	-    	-                 	s	*	*	*	*	*
